forecast_date,target_date,ticker,p10,p50,p90,actual,model_used,direction,signal_strength,conviction_score,error_abs,error_pct,hit,direction_correct,graded_at,notes,poly_adjusted_p50,poly_adjusted_p10,poly_adjusted_p90,poly_signal,poly_confidence,poly_alignment,poly_adjustment_pct,poly_top_question
2026-05-03,2026-05-14,CL=F,101.268459,102.669941,104.071424,,TimeCopilot_MedianEnsemble,BULLISH,1.2405,0.6825,,,,,,,102.669941,101.268459,104.071424,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-15,CL=F,101.418226,101.940159,102.462092,,TimeCopilot_MedianEnsemble,BULLISH,1.2405,0.6825,,,,,,,101.940159,101.418226,102.462092,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-04,EURUSD=X,1.165452,1.171454,1.177457,1.172663,TimeCopilot_MedianEnsemble,NEUTRAL,0.075,0.795,0.001209,0.1032,1.0,0.0,2026-05-05T06:45:35.799086,,,,,nan,nan,nan,,
2026-05-03,2026-05-05,EURUSD=X,1.166296,1.172298,1.178301,,TimeCopilot_MedianEnsemble,NEUTRAL,0.075,0.795,,,,,,,1.172298,1.166296,1.178301,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-06,EURUSD=X,1.166296,1.172298,1.178301,,TimeCopilot_MedianEnsemble,NEUTRAL,0.075,0.795,,,,,,,1.172298,1.166296,1.178301,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-07,EURUSD=X,1.166296,1.172298,1.178301,,TimeCopilot_MedianEnsemble,NEUTRAL,0.075,0.795,,,,,,,1.172298,1.166296,1.178301,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-08,EURUSD=X,1.166331,1.172333,1.178335,,TimeCopilot_MedianEnsemble,NEUTRAL,0.075,0.795,,,,,,,1.172333,1.166331,1.178335,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-11,EURUSD=X,1.165452,1.171454,1.177457,,TimeCopilot_MedianEnsemble,NEUTRAL,0.075,0.795,,,,,,,1.171454,1.165452,1.177457,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-12,EURUSD=X,1.166296,1.172298,1.178301,,TimeCopilot_MedianEnsemble,NEUTRAL,0.075,0.795,,,,,,,1.172298,1.166296,1.178301,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-13,EURUSD=X,1.166021,1.172023,1.178026,,TimeCopilot_MedianEnsemble,NEUTRAL,0.075,0.795,,,,,,,1.172023,1.166021,1.178026,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-14,EURUSD=X,1.164364,1.170367,1.176369,,TimeCopilot_MedianEnsemble,NEUTRAL,0.075,0.795,,,,,,,1.170367,1.164364,1.176369,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-15,EURUSD=X,1.166296,1.172298,1.178301,,TimeCopilot_MedianEnsemble,NEUTRAL,0.075,0.795,,,,,,,1.172298,1.166296,1.178301,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-04,GBPUSD=X,1.353084,1.360049,1.367013,1.358142,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,0.001907,0.1402,1.0,0.0,2026-05-05T06:45:35.903843,,,,,nan,nan,nan,,
2026-05-03,2026-05-05,GBPUSD=X,1.353061,1.360026,1.36699,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,1.360026,1.353061,1.36699,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-06,GBPUSD=X,1.35236,1.359325,1.366289,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,1.359325,1.35236,1.366289,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-07,GBPUSD=X,1.352683,1.359647,1.366612,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,1.359647,1.352683,1.366612,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-08,GBPUSD=X,1.353084,1.360049,1.367013,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,1.360049,1.353084,1.367013,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-11,GBPUSD=X,1.348465,1.35567,1.362876,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,1.35567,1.348465,1.362876,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-12,GBPUSD=X,1.349861,1.356826,1.36379,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,1.356826,1.349861,1.36379,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-13,GBPUSD=X,1.348667,1.356139,1.363611,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,1.356139,1.348667,1.363611,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-14,GBPUSD=X,1.347449,1.355877,1.364305,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,1.355877,1.347449,1.364305,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-15,GBPUSD=X,1.353084,1.360049,1.367013,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,1.360049,1.353084,1.367013,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-04,USDJPY=X,156.991043,157.795052,158.599061,156.845993,TimeCopilot_MedianEnsemble,BEARISH,0.4829,0.7962,0.949059,0.6015,0.0,1.0,2026-05-05T06:45:36.411896,,,,,nan,nan,nan,,
2026-05-03,2026-05-05,USDJPY=X,156.792533,157.596541,158.40055,,TimeCopilot_MedianEnsemble,BEARISH,0.4829,0.7962,,,,,,,157.596541,156.792533,158.40055,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-06,USDJPY=X,156.886675,157.690684,158.494693,,TimeCopilot_MedianEnsemble,BEARISH,0.4829,0.7962,,,,,,,157.690684,156.886675,158.494693,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-07,USDJPY=X,156.29982,157.103829,157.907838,,TimeCopilot_MedianEnsemble,BEARISH,0.4829,0.7962,,,,,,,157.103829,156.29982,157.907838,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-08,USDJPY=X,156.228996,157.033005,157.837014,,TimeCopilot_MedianEnsemble,BEARISH,0.4829,0.7962,,,,,,,157.033005,156.228996,157.837014,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-11,USDJPY=X,156.29982,157.103829,157.907838,,TimeCopilot_MedianEnsemble,BEARISH,0.4829,0.7962,,,,,,,157.103829,156.29982,157.907838,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-12,USDJPY=X,156.29982,157.103829,157.907838,,TimeCopilot_MedianEnsemble,BEARISH,0.4829,0.7962,,,,,,,157.103829,156.29982,157.907838,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-13,USDJPY=X,156.29982,157.103829,157.907838,,TimeCopilot_MedianEnsemble,BEARISH,0.4829,0.7962,,,,,,,157.103829,156.29982,157.907838,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
